Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Diombo Esmei Anne Marcelle,1130041,Nimes,CL S1F,9,8,6,3,2,M,10,9,9,9,7,M,8,8,8,8,7,5,8,8,8,7,6,4,10,7,7,7,6,4,10,9,8,7,5,5
Michel Julie,1033110,Auros,CL S1F,9,8,8,7,6,6,9,7,7,4,4,M,8,8,8,8,7,6,9,7,7,5,5,M,9,8,8,8,7,4,9,9,9,8,8,4
Michel Julie,1033110,Auros,CL S1F,9,8,7,6,6,5,X,10,9,8,7,7,10,9,9,7,7,6,9,8,8,7,7,6,X,8,8,6,4,M,9,7,7,7,6,4
Bloch Emily,1313051,Marseille,CL S2F,9,9,8,8,8,4,9,7,7,7,6,4,10,9,8,7,5,5,9,9,9,9,8,7,X,8,7,6,6,4,8,7,7,7,6,5
Bloch Emily,1313051,Marseille,CL S2F,X,9,9,8,7,5,10,9,9,8,8,7,9,9,9,9,8,7,8,7,7,7,5,3,9,9,7,7,7,5,9,9,8,8,8,6
Mercher Justine,0762288,Monchy Au Bois,CL S1F,9,8,8,7,6,5,10,9,9,8,7,5,9,9,9,8,7,5,X,10,9,9,8,4,10,10,9,9,7,7,X,10,9,8,5,M
Mercher Justine,0762288,Monchy Au Bois,CL S1F,10,9,8,8,7,6,10,8,8,7,3,2,9,8,8,7,7,2,8,7,5,3,1,M,10,9,8,6,3,M,10,9,9,7,7,3
Szostak Leeloo,1033110,Auros,CL U21F,X,10,9,9,9,8,X,10,9,8,8,8,10,10,9,9,8,8,9,9,9,9,9,9,10,10,9,9,8,8,10,10,9,8,8,7
Szostak Leeloo,1033110,Auros,CL U21F,X,9,9,9,8,7,10,9,9,8,8,8,10,9,9,9,8,8,X,10,10,9,9,9,10,9,9,8,8,7,9,9,9,9,6,5
Glemet Ophelie,1313051,Marseille,CL S1F,10,10,9,8,8,8,9,8,7,7,7,6,9,9,9,9,9,7,X,10,9,9,9,9,X,9,9,8,8,8,9,9,9,9,7,4
