Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Mouton Pierre,1134139,Montpellier,CL U21H,10,10,9,9,9,9,X,X,9,9,9,9,10,9,9,8,8,7,10,10,10,9,9,8,X,9,9,9,8,8,10,10,9,9,9,8
Mouton Pierre,1134139,Montpellier,CL U21H,X,9,9,9,7,7,10,10,9,8,8,8,10,9,8,8,8,7,10,10,9,9,8,8,9,9,9,9,7,5,10,9,9,9,8,8
Flick Francois,1064170,Lescar,CL S1H,10,9,9,8,8,7,9,9,9,9,8,8,X,9,9,8,8,8,10,9,8,8,8,7,9,8,8,7,6,5,10,9,9,9,9,6
Flick Francois,1064170,Lescar,CL S1H,9,9,9,8,7,6,9,8,8,8,7,7,X,10,9,8,8,3,X,10,9,8,8,8,9,9,9,8,7,7,10,9,9,8,8,7
Masson Martial,0877033,Saint Mard,CL S1H,X,9,9,8,8,8,10,9,9,9,8,6,X,9,9,8,8,8,10,10,9,9,9,8,10,10,10,9,9,9,10,9,9,9,8,8
Masson Martial,0877033,Saint Mard,CL S1H,9,9,9,8,8,5,X,X,10,9,8,8,10,9,9,8,8,6,X,10,9,9,9,8,X,9,9,9,9,9,9,9,9,9,9,9
Demoulin Ulysse,1134139,Montpellier,CL U18H,10,9,9,9,9,9,9,9,8,8,7,7,10,9,9,9,9,8,10,9,9,9,9,9,X,10,9,9,9,9,10,10,9,9,9,8
Demoulin Ulysse,1134139,Montpellier,CL U18H,X,10,10,9,8,8,X,10,9,9,9,9,10,10,9,9,8,6,10,10,9,9,8,8,X,X,10,9,8,7,X,X,X,10,9,8
Hoo Maxime,1064170,Lescar,CL S1H,10,10,10,9,9,6,X,9,8,8,7,7,X,9,8,8,7,6,10,9,9,8,8,7,10,9,9,7,6,3,10,9,9,8,8,7
Hoo Maxime,1064170,Lescar,CL S1H,10,10,10,8,8,6,10,9,8,8,6,6,X,9,9,8,7,7,9,9,8,8,8,7,9,9,9,8,8,7,X,10,9,8,7,6
Pretseille Guillaume,0437083,St Avertin,CL S1H,10,10,9,9,8,7,8,7,7,6,6,4,10,9,8,8,8,7,X,9,8,8,8,7,10,9,9,8,8,7,10,8,8,7,7,2
Pretseille Guillaume,0437083,St Avertin,CL S1H,X,9,8,7,6,6,10,10,9,8,7,7,9,8,8,8,8,7,10,9,9,8,8,8,9,7,7,6,6,6,9,9,8,8,8,6
Senay Alexandre,0976130,Notre Dame De Gravenchon,CL S1H,10,9,9,9,8,7,X,10,9,9,9,8,9,9,9,9,8,8,10,10,10,9,9,9,X,X,10,10,9,9,X,X,10,10,9,8
Senay Alexandre,0976130,Notre Dame De Gravenchon,CL S1H,9,9,9,9,9,7,9,9,9,9,8,8,X,10,10,9,9,8,10,10,9,9,9,7,10,10,9,9,9,8,10,10,10,9,9,9
Pace Sacha,1064170,Lescar,CL U21H,9,9,8,8,8,7,9,9,8,6,6,6,10,10,9,9,8,7,10,9,8,8,6,6,10,10,9,9,8,7,X,X,9,9,8,8
Pace Sacha,1064170,Lescar,CL U21H,10,10,7,7,6,3,9,8,8,8,7,4,10,9,9,8,8,8,9,8,8,8,8,7,9,9,8,8,6,6,X,9,9,9,8,7
Henault Alexandre,0437083,St Avertin,CL S1H,9,8,8,8,7,7,9,9,8,8,8,7,9,8,8,7,7,5,8,8,8,8,8,7,9,9,8,8,8,5,9,9,8,8,6,4
Henault Alexandre,0437083,St Avertin,CL S1H,10,9,8,8,8,6,9,9,9,8,8,7,X,10,10,9,9,8,X,9,9,8,7,7,10,10,9,8,7,6,9,9,8,8,7,6
Courtois Steeve,1086189,Smarves,CL S2H,10,9,8,8,7,6,X,9,8,7,5,4,10,10,9,9,9,8,10,9,9,8,7,7,10,9,8,8,7,6,9,8,8,8,8,8
Courtois Steeve,1086189,Smarves,CL S2H,9,9,8,7,7,7,10,9,8,8,7,6,X,9,9,8,6,5,10,9,7,7,7,6,10,8,8,7,7,5,10,9,7,7,7,7
Cellier Justine,0760171,Compiegne,CO U21F,X,10,10,10,10,9,X,10,10,10,9,9,10,10,9,9,9,9,10,10,10,10,9,9,X,X,10,10,9,9,X,10,9,9,8,8
Cellier Justine,0760171,Compiegne,CO U21F,10,10,9,9,9,9,X,10,10,10,10,9,X,10,10,10,8,8,10,10,10,10,9,8,10,10,10,9,9,9,X,X,X,X,10,9
Brianne Noemie,0437083,St Avertin,CO S1F,10,10,10,9,9,9,9,9,9,9,8,8,X,X,9,9,8,7,X,10,10,9,8,8,X,9,9,8,8,8,10,9,9,9,8,8
Brianne Noemie,0437083,St Avertin,CO S1F,X,10,9,9,7,7,9,9,9,8,8,7,X,10,9,9,8,8,10,9,9,9,8,8,X,9,9,8,7,7,10,9,9,8,8,8
Cadronet Candice,0893225,Neuilly Sur Marne,CO S1F,X,10,10,9,9,8,X,10,10,10,9,8,X,X,10,9,9,7,10,10,10,10,9,9,10,10,9,9,9,7,X,10,10,9,8,7
Cadronet Candice,0893225,Neuilly Sur Marne,CO S1F,10,9,9,9,9,9,10,10,10,9,9,8,X,10,9,9,9,8,X,X,10,10,9,8,10,10,9,9,9,9,X,X,9,9,8,8
